"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2020","13,312.0","13,504.0","13,568.0","13,312.0","9.48M","-1.42%"
"09/04/2020","13,504.0","13,440.0","13,568.0","13,312.0","7.29M","-0.47%"
"09/03/2020","13,568.0","13,504.0","13,696.0","13,440.0","9.50M","0.47%"
"09/01/2020","13,504.0","13,568.0","13,632.0","13,440.0","12.22M","-0.47%"
"08/31/2020","13,568.0","13,696.0","13,760.0","13,504.0","10.95M","-0.93%"
"08/28/2020","13,696.0","13,824.0","13,952.0","13,632.0","10.86M","-0.47%"
"08/27/2020","13,760.0","13,568.0","13,760.0","13,504.0","7.60M","1.42%"
"08/26/2020","13,568.0","13,504.0","13,632.0","13,376.0","9.40M","0.47%"
"08/25/2020","13,504.0","13,440.0","13,568.0","13,312.0","12.19M","0.48%"
"08/24/2020","13,440.0","13,568.0","13,760.0","13,440.0","10.66M","-0.94%"
"08/21/2020","13,568.0","13,312.0","13,568.0","13,184.0","11.55M","1.92%"
"08/20/2020","13,312.0","13,184.0","13,568.0","12,800.0","30.43M","5.63%"
"08/19/2020","12,603.0","12,652.0","12,702.0","12,505.0","18.82M","0.00%"
"08/18/2020","12,603.0","12,800.0","12,849.0","12,603.0","9.57M","-0.78%"
"08/17/2020","12,702.0","12,455.0","12,702.0","12,406.0","12.64M","1.98%"
"08/14/2020","12,455.0","12,554.0","12,554.0","12,308.0","13.57M","-0.79%"
"08/13/2020","12,554.0","12,505.0","12,603.0","12,455.0","7.73M","0.39%"
"08/12/2020","12,505.0","12,702.0","12,751.0","12,406.0","12.37M","0.00%"
"08/11/2020","12,505.0","11,815.0","12,505.0","11,766.0","31.15M","6.73%"
"08/10/2020","11,717.0","11,668.0","11,865.0","11,668.0","5.23M","0.42%"
"08/07/2020","11,668.0","11,766.0","11,865.0","11,569.0","4.37M","-0.42%"
"08/06/2020","11,717.0","11,865.0","11,865.0","11,668.0","3.81M","-0.83%"
"08/05/2020","11,815.0","11,766.0","12,012.0","11,668.0","11.12M","1.26%"
"08/04/2020","11,668.0","11,471.0","11,766.0","11,471.0","5.91M","2.15%"
"08/03/2020","11,422.0","10,880.0","11,422.0","10,880.0","6.18M","3.11%"
"07/31/2020","11,077.0","11,175.0","11,175.0","10,880.0","4.51M","-0.44%"
"07/30/2020","11,126.0","10,683.0","11,126.0","10,683.0","3.89M","1.80%"
"07/29/2020","10,929.0","11,175.0","11,225.0","10,634.0","10.01M","-3.06%"
"07/28/2020","11,274.0","10,732.0","11,274.0","10,585.0","5.28M","5.05%"
"07/27/2020","10,732.0","10,289.0","11,274.0","10,289.0","12.68M","-6.04%"
"07/24/2020","11,422.0","11,963.0","11,963.0","11,077.0","11.24M","-4.13%"
"07/23/2020","11,914.0","12,012.0","12,012.0","11,815.0","3.97M","-0.82%"
"07/22/2020","12,012.0","12,111.0","12,209.0","11,914.0","3.51M","-0.82%"
"07/21/2020","12,111.0","12,062.0","12,111.0","11,914.0","4.46M","0.41%"
"07/20/2020","12,062.0","12,209.0","12,258.0","12,062.0","5.33M","-1.20%"
"07/17/2020","12,209.0","11,865.0","12,308.0","11,815.0","16.03M","3.33%"
"07/16/2020","11,815.0","11,914.0","11,914.0","11,766.0","1.83M","0.00%"
"07/15/2020","11,815.0","11,914.0","11,914.0","11,815.0","3.19M","0.00%"
"07/14/2020","11,815.0","11,766.0","11,865.0","11,668.0","2.86M","0.42%"
"07/13/2020","11,766.0","11,865.0","11,914.0","11,717.0","3.74M","-0.41%"
"07/10/2020","11,815.0","11,963.0","12,012.0","11,717.0","4.64M","-1.24%"
"07/09/2020","11,963.0","11,766.0","11,963.0","11,766.0","4.57M","1.67%"
"07/08/2020","11,766.0","11,618.0","11,815.0","11,618.0","3.35M","0.84%"
"07/07/2020","11,668.0","11,668.0","11,815.0","11,668.0","4.85M","0.43%"
"07/06/2020","11,618.0","11,323.0","11,668.0","11,323.0","6.51M","2.61%"
"07/03/2020","11,323.0","11,422.0","11,471.0","11,323.0","2.58M","-0.43%"
"07/02/2020","11,372.0","11,422.0","11,520.0","11,323.0","2.17M","-0.44%"
"07/01/2020","11,422.0","11,225.0","11,471.0","11,225.0","3.40M","1.76%"
"06/30/2020","11,225.0","11,323.0","11,471.0","11,028.0","7.28M","-0.43%"
"06/29/2020","11,274.0","11,618.0","11,618.0","11,175.0","8.84M","-2.96%"
"06/26/2020","11,618.0","11,717.0","11,815.0","11,618.0","2.84M","-0.43%"
"06/25/2020","11,668.0","11,668.0","11,717.0","11,569.0","5.08M","-0.42%"
